Producer,Appellation,Cuvée / Wine,Region,Colour,Vintage,Format,Qty,Price/bottle,Price basis,Packaging / note
La Mission Haut Brion,,,Bordeaux,Red,1953,75cl,2,2623.5,ex-VAT,Loose
La Mission Haut Brion,,,Bordeaux,Red,1955,75cl,1,4722.3,ex-VAT,Loose
La Mission Haut Brion,,,Bordeaux,Red,1955,75cl,6,4722.3,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1959,75cl,1,1783.98,ex-VAT,Loose
DRC,,La Tache,Burgundy,Red,1988,75cl,2,3935.25,ex-VAT,Loose
Bollinger,,Vv Francaises,Champagne,White,1990,75cl,1,3148.2,ex-VAT,OWC
Latour,,,Bordeaux,Red,1990,75cl,12,760.815,ex-VAT,OWC
Mouton Rothschild,,,Bordeaux,Red,1981,75cl,1,314.82,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1994,75cl,1,367.29,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1994,75cl,1,367.29,ex-VAT,Loose
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,1990,75cl,8,4932.18,ex-VAT,Loose
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,1990,75cl,14,4932.18,ex-VAT,Loose
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,1990,75cl,2,4459.95,ex-VAT,Loose
Macallan,,Sherry Oak 18YO,Scotland,,1984,70cl,6,1783.98,ex-VAT,GB
Highland Park,,40YO,Island,,2019,70cl,10,3305.61,ex-VAT,OC_OWC
Comte Vogue,,Bonnes Mares,Burgundy,Red,2015,75cl,6,550.935,ex-VAT,OWC
Mommessin,,Clos Tart,Burgundy,Red,2009,75cl,6,472.23,ex-VAT,OC
Domaine Leroy,,Vosne Romanee Genaivrieres,Burgundy,Red,2014,75cl,12,3148.2,ex-VAT,OWC
Domaine Ponsot,,Clos Roche Vv,Burgundy,Red,2009,1.5L,6,839.52,ex-VAT,OWC
Domaine Faiveley,,Musigny,Burgundy,Red,2015,1.5L,1,5771.7,ex-VAT,OWC
Joseph Drouhin,,Chambertin Clos De Beze,Burgundy,Red,2015,75cl,6,367.29,ex-VAT,OWC
Krug,,Clos du Mesnil,Champagne,White,2003,1.5L,5,2518.56,ex-VAT,OWC
Krug,,Clos du Mesnil,Champagne,White,2003,1.5L,4,2518.56,ex-VAT,OC_OWC
Krug,,Clos du Mesnil,Champagne,White,2003,1.5L,3,2413.62,ex-VAT,OC_OWC
